Questions - Mental Health,Responses - Mental health
What is mental health? ,"Mental health refers to our emotional, psychological, and social well-being. It affects how we think, feel, and act. Good mental health helps us handle stress, relate to others, and make decisions. "
How can I improve my mental health? ,"You can improve your mental health by maintaining a balanced diet, exercising regularly, getting enough sleep, managing stress, and seeking support from friends, family, or a mental health professional. "
What are the signs of depression? ,"Signs of depression can include persistent sadness, loss of interest in activities, changes in appetite or weight, trouble sleeping, fatigue, feelings of worthlessness, and difficulty concentrating"
How can I manage anxiety?,"Managing anxiety can involve practicing relaxation techniques, such as deep breathing or meditation, exercising regularly, avoiding caffeine, staying connected with others, and seeking therapy if needed."
What are the signs of a Sociopath?,"Lack of empathy for others Impulsive behavior Attempting to control others with threats or aggression Using intelligence, charm, or charisma to manipulate others Not learning from mistakes or punishment Lying for personal gain Showing a tendency toward physical violence and fights."
What is cognitive-behavioral therapy (CBT)? ,Cognitive-behavioral therapy (CBT) is a type of psychotherapy that helps individuals identify and change negative thought patterns and behaviors that contribute to their mental health issues. 
What should I do if I’m having a panic attack? ,"During a panic attack, try to focus on your breathing, practice grounding techniques, remind yourself that the attack will pass. I can also refer you to a professional if the attacks are frequent or severe. "
What is the difference between stress and anxiety?,"Stress is a response to a specific situation or challenge, while anxiety is a more general feeling of worry or apprehension that can persist even in the absence of a specific stressor. "
How can I support/help a friend with mental health issues?,"Offer a listening ear, encourage them to seek professional help, be supportive and non-judgmental, and provide practical help if needed. Let them know they are not alone. 

 "
,
Responses - Symptom Checker,Questions- Symptom Checker
"I've been feeling pretty good lately, nothing out of the ordinary. I've been feeling down/sad/depressed/gray for the past couple of weeks.","""How have you been feeling lately? Are you experiencing any changes in your mood or behavior?"""
   I'm feeling overwhelmed with all the responsibilities I have right now. I'm feeling a mix of emotions.,"Have you been feeling unusually sad, anxious, or overwhelmed recently?"
I've been feeling anxious about work and future plans.,Do you often feel a lack of interest or pleasure in activities you usually enjoy?
My mood has been pretty stable recently. I feel sad most of the time and struggle to find joy in things I used to enjoy.,"Have you noticed any changes in your sleep patterns, such as difficulty falling asleep, staying asleep, or sleeping too much?""
"
"I often feel nervous and worried, even about small things. I feel constantly overwhelmed and stressed out by everything going on.","Do you feel more fatigued or tired than usual, even after resting?"
I feel a bit irritable and easily frustrated these days.,"Have there been significant changes in your appetite or eating habits, such as eating too much or too little?"
My sleep patterns haven't changed; I sleep and wake up at usual times.,Are you having trouble concentrating or focusing on tasks that you used to find easy?
I have trouble falling asleep at night and often lie awake for hours.,"Are you experiencing any physical symptoms like headaches, stomachaches, or unexplained aches and pains?"
I wake up several times during the night and have trouble going back to sleep.,"Have you been withdrawing from friends, family, or social activities more than usual?"
I've been sleeping a lot more than usual and still feel tired throughout the day.,"What are the sources of your stress, and how are you coping with them?"
